Tweet:531303069032910848, 2014-11-30T06:02:35+09:00, not japanese, Tweet:531303070076911616, 2014-11-30T06:02:35+09:00, normal, url:http://weather.map.c.yimg.jp/weather?x=55&y=6&z=7&date=201411091330, filename:img/2014/11/09/x55y6_1330.png, 
readed png, RainTime:0.097314609, MeCabTime:0.000330279, UsedTime:0.09773247

Tweet:531303069423001600, 2014-11-30T06:02:36+09:00, normal, url:http://weather.map.c.yimg.jp/weather?x=56&y=6&z=7&date=201411091330, filename:img/2014/11/09/x56y6_1330.png, 
readed png, RainTime:0.091479999, MeCabTime:0.000444121, UsedTime:0.092037473

Tweet:531303071410704385, 2014-11-30T06:02:36+09:00, normal, url:http://weather.map.c.yimg.jp/weather?x=56&y=6&z=7&date=201411091330, filename:img/2014/11/09/x56y6_1330.png, 
readed png, RainTime:0.097822984, MeCabTime:0.000337892, UsedTime:0.098305378

Tweet:531303073163907073, 2014-11-30T06:02:36+09:00, normal, url:http://weather.map.c.yimg.jp/weather?x=56&y=6&z=7&date=201411091330, filename:img/2014/11/09/x56y6_1330.png, 
readed png, RainTime:0.096643435, MeCabTime:0.000324343, UsedTime:0.097092794

Tweet:531303073008726016, 2014-11-30T06:02:36+09:00, normal, url:http://weather.map.c.yimg.jp/weather?x=56&y=6&z=7&date=201411091330, filename:img/2014/11/09/x56y6_1330.png, 
readed png, RainTime:0.097155162, MeCabTime:0.000335728, UsedTime:0.097609061

Tweet:531303074640699392, 2014-11-30T06:02:36+09:00, normal, url:http://weather.map.c.yimg.jp/weather?x=56&y=6&z=7&date=201411091330, filename:img/2014/11/09/x56y6_1330.png, 
readed png, RainTime:0.097239391, MeCabTime:0.000386991, UsedTime:0.097743086

Tweet:531303074699022337, 2014-11-30T06:02:36+09:00, normal, url:http://weather.map.c.yimg.jp/weather?x=55&y=6&z=7&date=201411091330, filename:img/2014/11/09/x55y6_1330.png, 
readed png, RainTime:0.097453943, MeCabTime:0.000518711, UsedTime:0.098085937

Tweet:531303076661960704, 2014-11-30T06:02:36+09:00, normal, url:http://weather.map.c.yimg.jp/weather?x=56&y=6&z=7&date=201411091330, filename:img/2014/11/09/x56y6_1330.png, 
readed png, RainTime:0.091336684, MeCabTime:0.000354375, UsedTime:0.091813841

Tweet:531303077010079744, 2014-11-30T06:02:36+09:00, normal, url:http://weather.map.c.yimg.jp/weather?x=56&y=6&z=7&date=201411091330, filename:img/2014/11/09/x56y6_1330.png, 
readed png, RainTime:0.09781593, MeCabTime:0.000341943, UsedTime:0.098296718

Tweet:531303081082761216, 2014-11-30T06:02:36+09:00, normal, url:http://weather.map.c.yimg.jp/weather?x=56&y=6&z=7&date=201411091330, filename:img/2014/11/09/x56y6_1330.png, 
readed png, RainTime:0.096630375, MeCabTime:0.000333562, UsedTime:0.09709028

Tweet:531303083515449345, 2014-11-30T06:02:36+09:00, normal, url:http://weather.map.c.yimg.jp/weather?x=57&y=8&z=7&date=201411091330, filename:img/2014/11/09/x57y8_1330.png, 
readed png, RainTime:0.102556966, MeCabTime:0.00033922, UsedTime:0.103018618

Tweet:531303085432242176, 2014-11-30T06:02:37+09:00, normal, url:http://weather.map.c.yimg.jp/weather?x=56&y=6&z=7&date=201411091330, filename:img/2014/11/09/x56y6_1330.png, 
readed png, RainTime:0.097489003, MeCabTime:0.00031694, UsedTime:0.097923626

Tweet:531303088930320384, 2014-11-30T06:02:37+09:00, normal, url:http://weather.map.c.yimg.jp/weather?x=55&y=6&z=7&date=201411091330, filename:img/2014/11/09/x55y6_1330.png, 
readed png, RainTime:0.097420978, MeCabTime:0.000410527, UsedTime:0.09794346

Tweet:531303092222824448, 2014-11-30T06:02:37+09:00, normal, url:http://weather.map.c.yimg.jp/weather?x=56&y=6&z=7&date=201411091330, filename:img/2014/11/09/x56y6_1330.png, 
readed png, RainTime:0.091359244, MeCabTime:0.000381054, UsedTime:0.091852533

Tweet:531303094097702912, 2014-11-30T06:02:37+09:00, normal, url:http://weather.map.c.yimg.jp/weather?x=55&y=6&z=7&date=201411091330, filename:img/2014/11/09/x55y6_1330.png, 
readed png, RainTime:0.097751466, MeCabTime:0.000342641, UsedTime:0.09822939

Tweet:531303094143836161, 2014-11-30T06:02:37+09:00, normal, url:http://weather.map.c.yimg.jp/weather?x=55&y=6&z=7&date=201411091330, filename:img/2014/11/09/x55y6_1330.png, 
readed png, RainTime:0.09654873, MeCabTime:0.00037428, UsedTime:0.097048794

Tweet:531303095414714368, 2014-11-30T06:02:37+09:00, normal, url:http://weather.map.c.yimg.jp/weather?x=56&y=6&z=7&date=201411091330, filename:img/2014/11/09/x56y6_1330.png, 
readed png, RainTime:0.096973924, MeCabTime:0.000318616, UsedTime:0.097414063

